Timestamp,"By clicking ""I agree"" below, you confirm that you have read and understood the above terms and voluntarily consent to participate in this survey.",Age,Gender,Current Occupation,Monthly income salary or allowance,How often do you shop for groceries in a month?,How much do you spend on groceries every month?,What grocery stores do you usually buy your necessities from? (Select all that apply),What primary factors do you find important in a  grocery store? (Select all that apply),What payment methods do you use in paying for groceries? (Select all that apply),Among the following when do you usually take a trip to the grocery store?,What would be the duration that you typically spend in a grocery store?,Which among the following products and goods do you usually buy? (Select all that apply),Which section of a grocery store do you spend the most time during a typical visit? (Select all that apply),Which section of a grocery store do you spend the least time during a typical visit? (Select all that apply),Which products do you usually forget when you go grocery shopping? (Select all that apply),Should there be a designated area for sampling new products in the store?,Should there be a designated area for products that have discounts and promotions?,Where should checkout counters be placed at?,Would you like express checkout lanes for customers with limited number of items?,Do you use baggage counters at the groceries you go at to leave your baggage?,"Based from the choices below, select a layout that you most prefer.","Additional comments, suggestions, or other experiences related to how a grocery store should be planned and laid out. (Optional)"
4/10/2024 20:23:46,I agree,18-24,Female,Student,"₱76,669 to ₱131,484",Once a week,"Less than ₱5,000","Puregold, Tiongsan Supermarket","Price: Finding good deals and discounts, Location: Proximity to home or workplace, Large Space: The grocery have a big space or layout","Cash, Digital Wallets",Afternoon (12:00 PM - 4:00 PM),1-2 hours,"Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Bakery: Bread, pastries, and baked goods, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Health & Wellness: Vitamins, supplements, and health foods, Specialty Sections: Ethnic foods, organic products, and gluten-free items","Bread, Toilet Paper, Coffee","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout D,
4/11/2024 6:51:16,I agree,18-24,Male,Student,"Below ₱10,957",Once a week,"Less than ₱5,000","Puregold, C and Triple A Supermarket, SM Supermarket, Tiongsan Supermarket","Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Brand Loyalty: Preferring specific brands or stores, Health Preferences: Seeking organic, healthy, or specific dietary products, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Store Atmosphere: Pleasant shopping environment","Cash, Credit Card",Late Morning (10:00 AM - 12:00 PM),1-2 hours,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Health & Wellness: Vitamins, supplements, and health foods, Household Supplies: Cleaning products, toiletries, and paper goods","Pantry Staples: Canned goods, grains, pasta, and sauces","Batteries, Toiletries, Cleaning Supplies","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","No, I prefer to keep my baggage with me at all times.",Layout B,
4/11/2024 7:59:07,I agree,25-34,Female,Self-employed,"₱10,957 to ₱21,914",Rarely,"₱5,000 - ₱10,000",Puregold,"Convenience: Easy access to essential items, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Brand Loyalty: Preferring specific brands or stores","Cash, Credit Card, Mobile Payment Apps (GCash, Paymaya, GoTyme, and others)",Afternoon (12:00 PM - 4:00 PM),1-2 hours,"Deli/Meat: Cold cuts, cheeses, and meats, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Household Supplies: Cleaning products, toiletries, and paper goods","Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats",Toilet Paper,"No, integrate sampling throughout the store","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout C,
4/11/2024 19:56:38,I agree,25-34,Female,Employed (part-time),"₱21,914 to ₱43,828",Once a week,"₱5,000 - ₱10,000",SM Supermarket,"Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Brand Loyalty: Preferring specific brands or stores, Health Preferences: Seeking organic, healthy, or specific dietary products, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Specialty Items: Unique or specialty products, Store Atmosphere: Pleasant shopping environment, Large Space: The grocery have a big space or layout","Cash, Debit Card",Afternoon (12:00 PM - 4:00 PM),30 minutes to 1 hour,"Fresh Produce: Fruits, vegetables, and fresh herbs, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Specialty Sections: Ethnic foods, organic products, and gluten-free items","Bread, Toilet Paper, Fresh Fruits, Tea, Snacks","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Sometimes, depending on the situation or location.",Layout C,
4/11/2024 23:51:34,I agree,45-59,Female,Employed (full-time),"Below ₱10,957",Rarely,"Less than ₱5,000",Tiongsan Supermarket,"Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Specialty Items: Unique or specialty products, Store Atmosphere: Pleasant shopping environment, Large Space: The grocery have a big space or layout",Cash,Late Morning (10:00 AM - 12:00 PM),1-2 hours,"Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Household Supplies: Cleaning products, toiletries, and paper goods","Fresh Produce: Fruits, vegetables, and fresh herbs",Fresh Vegetables,"Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout B,
4/13/2024 20:43:18,I agree,18-24,Male,Student,"₱21,914 to ₱43,828",Once a week,"Less than ₱5,000","SaveMore, SM Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Brand Loyalty: Preferring specific brands or stores, Customer Service: Friendly and helpful staff, Store Atmosphere: Pleasant shopping environment, Large Space: The grocery have a big space or layout","Cash, Credit Card, Mobile Payment Apps (GCash, Paymaya, GoTyme, and others)",Evening (4:00 PM - 8:00 PM),15-30 minutes,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Household Supplies: Cleaning products, toiletries, and paper goods","Deli/Meat: Cold cuts, cheeses, and meats, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces","Household Supplies: Cleaning products, toiletries, and paper goods","Condiments, Toiletries","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Strategically throughout the store to reduce congestion,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout D,
4/13/2024 20:58:06,I agree,18-24,Male,Student,"Below ₱10,957",Rarely,"Less than ₱5,000","Sunshine Supermarket, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from",Cash,Afternoon (12:00 PM - 4:00 PM),15-30 minutes,"Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Snacks: Chips, cookies, nuts, and snacks","Pantry Staples: Canned goods, grains, pasta, and sauces",Spices,"Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Sometimes, depending on the situation or location.",Layout B,
4/13/2024 20:59:25,I agree,13-17,Male,Student,"Below ₱10,957",Rarely,"Less than ₱5,000","Sunshine Supermarket, Victoria Supermarket, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Cleanliness: Well-maintained and organized store, Product Quality: Fresh and high-quality items, Large Space: The grocery have a big space or layout","Cash, Credit Card",Evening (4:00 PM - 8:00 PM),30 minutes to 1 hour,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Household Supplies: Cleaning products, toiletries, and paper goods","Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Household Supplies: Cleaning products, toiletries, and paper goods","Dairy: Milk, cheese, yogurt, and eggs, Snacks: Chips, cookies, nuts, and snacks",Hygiene and laundry supplies,"Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout A,
4/13/2024 21:01:51,I agree,45-59,Female,Employed (full-time),"₱21,914 to ₱43,828",Once a week,"Less than ₱5,000","Sunshine Supermarket, Victoria Supermarket, Tiongsan Supermarket","Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Specialty Items: Unique or specialty products",Credit Card,Evening (4:00 PM - 8:00 PM),1-2 hours,"Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Household Supplies: Cleaning products, toiletries, and paper goods","Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Household Supplies: Cleaning products, toiletries, and paper goods","Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs",Toilet Paper,"No, integrate sampling throughout the store","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout A,
4/13/2024 21:18:18,I agree,18-24,Male,Student,"Below ₱10,957",Once a month,"Less than ₱5,000","SaveMore, Puregold, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Product Quality: Fresh and high-quality items, Specialty Items: Unique or specialty products",Cash,Afternoon (12:00 PM - 4:00 PM),15-30 minutes,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Dairy: Milk, cheese, yogurt, and eggs, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Household Supplies: Cleaning products, toiletries, and paper goods","Deli/Meat: Cold cuts, cheeses, and meats, Dairy: Milk, cheese, yogurt, and eggs, Pantry Staples: Canned goods, grains, pasta, and sauces","Fresh Produce: Fruits, vegetables, and fresh herbs",Batteries,"Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",In a centralized location for easy visibility,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout C,
4/13/2024 21:24:13,I agree,18-24,Male,Student,"₱10,957 to ₱21,914",Once a month,"₱10,001 - ₱15,000","SaveMore, Puregold, SM Supermarket","Convenience: Easy access to essential items, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Brand Loyalty: Preferring specific brands or stores, Specialty Items: Unique or specialty products, Store Atmosphere: Pleasant shopping environment, Large Space: The grocery have a big space or layout","Cash, Debit Card",Late Morning (10:00 AM - 12:00 PM),30 minutes to 1 hour,"Deli/Meat: Cold cuts, cheeses, and meats, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Deli/Meat: Cold cuts, cheeses, and meats, Household Supplies: Cleaning products, toiletries, and paper goods","Dairy: Milk, cheese, yogurt, and eggs, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks","Tea, Condiments, Batteries","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Sometimes, depending on the situation or location.",Layout A,
4/13/2024 21:24:15,I agree,18-24,Male,Student,"Below ₱10,957",Once a week,"Less than ₱5,000","SM Supermarket, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Variety: Having a wide selection of products to choose from",Cash,Late Morning (10:00 AM - 12:00 PM),15-30 minutes,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Pantry Staples: Canned goods, grains, pasta, and sauces, Beverages: Soft drinks, juices, water, and alcoholic beverages, Health & Wellness: Vitamins, supplements, and health foods, Household Supplies: Cleaning products, toiletries, and paper goods","Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats","Household Supplies: Cleaning products, toiletries, and paper goods",Eggs,"Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Strategically throughout the store to reduce congestion,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout C,
4/13/2024 21:26:26,I agree,18-24,Male,Student,"Below ₱10,957",Once a week,"Less than ₱5,000",SaveMore,"Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Store Atmosphere: Pleasant shopping environment, Large Space: The grocery have a big space or layout",Cash,Late Morning (10:00 AM - 12:00 PM),15-30 minutes,"Deli/Meat: Cold cuts, cheeses, and meats, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Deli/Meat: Cold cuts, cheeses, and meats, Household Supplies: Cleaning products, toiletries, and paper goods","Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Beverages: Soft drinks, juices, water, and alcoholic beverages",Cleaning Supplies,"Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Strategically throughout the store to reduce congestion,"Yes, introduce a dedicated express lane","Sometimes, depending on the situation or location.",Layout C,
4/13/2024 21:55:51,I agree,18-24,Male,Student,"₱10,957 to ₱21,914",Twice a week,"₱5,000 - ₱10,000","SM Supermarket, Tiongsan Supermarket","Convenience: Easy access to essential items, Variety: Having a wide selection of products to choose from, Health Preferences: Seeking organic, healthy, or specific dietary products, Store Atmosphere: Pleasant shopping environment","Cash, Credit Card, Mobile Payment Apps (GCash, Paymaya, GoTyme, and others)",Afternoon (12:00 PM - 4:00 PM),1-2 hours,"Fresh Produce: Fruits, vegetables, and fresh herbs, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Deli/Meat: Cold cuts, cheeses, and meats, Dairy: Milk, cheese, yogurt, and eggs, Specialty Sections: Ethnic foods, organic products, and gluten-free items","Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces","Bread, Cheese, Batteries","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Strategically throughout the store to reduce congestion,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout A,
4/13/2024 22:34:01,I agree,18-24,Female,Student,"Below ₱10,957",Once a week,"Less than ₱5,000","Sunshine Supermarket, Victoria Supermarket, Tiongsan Supermarket, 456 Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace",Cash,Evening (4:00 PM - 8:00 PM),15-30 minutes,"Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Household Supplies: Cleaning products, toiletries, and paper goods","Cheese, Butter","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout D,
4/13/2024 22:43:27,I agree,18-24,Female,Student,"Below ₱10,957",Rarely,"Less than ₱5,000",Tiongsan Supermarket,"Convenience: Easy access to essential items, Price: Finding good deals and discounts, Customer Service: Friendly and helpful staff",Cash,Afternoon (12:00 PM - 4:00 PM),30 minutes to 1 hour,"Fresh Produce: Fruits, vegetables, and fresh herbs, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Fresh Produce: Fruits, vegetables, and fresh herbs, Household Supplies: Cleaning products, toiletries, and paper goods","Beverages: Soft drinks, juices, water, and alcoholic beverages","Toilet Paper, Snacks","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout D,none
4/13/2024 23:17:42,I agree,18-24,Male,Student,"Below ₱10,957",Once a week,"₱5,000 - ₱10,000","SM Supermarket, Tiongsan Supermarket, 5 Cent up Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Brand Loyalty: Preferring specific brands or stores, Health Preferences: Seeking organic, healthy, or specific dietary products, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Specialty Items: Unique or specialty products, Store Atmosphere: Pleasant shopping environment",Cash,Afternoon (12:00 PM - 4:00 PM),15-30 minutes,"Bakery: Bread, pastries, and baked goods, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Snacks: Chips, cookies, nuts, and snacks","Deli/Meat: Cold cuts, cheeses, and meats, Health & Wellness: Vitamins, supplements, and health foods","Cheese, Butter","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Strategically throughout the store to reduce congestion,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout B,
4/14/2024 9:31:45,I agree,18-24,Male,Student,"Below ₱10,957",Rarely,"Less than ₱5,000","Robinsons Supermarket, Sunshine Supermarket, Victoria Supermarket, Tiongsan Supermarket, 5 Cent up Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Location: Proximity to home or workplace, Large Space: The grocery have a big space or layout",Cash,Evening (4:00 PM - 8:00 PM),Less than 15 minutes,"Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks","Fresh Produce: Fruits, vegetables, and fresh herbs, Bakery: Bread, pastries, and baked goods, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Bakery: Bread, pastries, and baked goods, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks","Milk, Butter, Coffee, Batteries","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout A,
4/14/2024 17:30:39,I agree,18-24,Female,Student,"Below ₱10,957",Rarely,"Less than ₱5,000","SaveMore, Sunshine Supermarket, Victoria Supermarket, Tiongsan Supermarket, 5 Cent up Supermarket","Convenience: Easy access to essential items, Variety: Having a wide selection of products to choose from, Product Quality: Fresh and high-quality items, Specialty Items: Unique or specialty products",Cash,Late Morning (10:00 AM - 12:00 PM),30 minutes to 1 hour,"Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Bakery: Bread, pastries, and baked goods","Cheese, Butter","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",In a centralized location for easy visibility,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout B,
4/14/2024 17:39:44,I agree,18-24,Female,Student,"Below ₱10,957",Once a week,"Less than ₱5,000","Robinsons Supermarket, Victoria Supermarket, Puregold, SM Supermarket, Tiongsan Supermarket","Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Location: Proximity to home or workplace, Customer Service: Friendly and helpful staff, Specialty Items: Unique or specialty products, Store Atmosphere: Pleasant shopping environment, Large Space: The grocery have a big space or layout","Cash, Debit Card, Mobile Payment Apps (GCash, Paymaya, GoTyme, and others)",Afternoon (12:00 PM - 4:00 PM),30 minutes to 1 hour,"Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Health & Wellness: Vitamins, supplements, and health foods, Household Supplies: Cleaning products, toiletries, and paper goods","Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Health & Wellness: Vitamins, supplements, and health foods, Household Supplies: Cleaning products, toiletries, and paper goods","Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces","Eggs, Toilet Paper","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout B,
4/14/2024 17:53:12,I agree,18-24,Male,Student,"Below ₱10,957",Once a month,"Less than ₱5,000","SaveMore, Victoria Supermarket, Puregold, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Location: Proximity to home or workplace, Product Quality: Fresh and high-quality items",Cash,Afternoon (12:00 PM - 4:00 PM),15-30 minutes,"Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Beverages: Soft drinks, juices, water, and alcoholic beverages","Eggs, Cheese, Snacks, Condiments","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout B,
4/14/2024 18:03:29,I agree,18-24,Male,Student,"Below ₱10,957",Rarely,"Less than ₱5,000","Robinsons Supermarket, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Product Quality: Fresh and high-quality items",Cash,Afternoon (12:00 PM - 4:00 PM),I don't keep track of time,"Deli/Meat: Cold cuts, cheeses, and meats, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Deli/Meat: Cold cuts, cheeses, and meats, Frozen Foods: Frozen meals, ice cream, and frozen vegetables","Snacks: Chips, cookies, nuts, and snacks",None,"Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout A,
